Resource,Resource URL,Email-General,Phone-General,Address,Email-Contact,Contact,Phone-Contact,Resource Description,Resource Type,Facebook URL,Twitter URL,Instagram,Audience,Population Focus,Location,Campuses,College eligibility,Availability,Deadline,Innovation Type,Funding Amount if applicable,Topic,Technology,Client Tags,"Notes, estimated time to complete",Attachments,Approved,Approved by,Last updated,Flagged,Flagged comment,Process,Organization
Berkeley Energy & Climate Institute (BECI) Challenge,http://citris-uc.org/becichallenge/,,,,,,,"6 month incubator program + 6 month extension option that provides additional resources and mentorship for companies working to solve today’s pressing energy and climate problems. Winners receive an additional $5,000 in funding for a total of $10,000 in seed funds for participation in The Foundry, as well as access to BECI‘s extensive network of energy and climate experts from both UC Berkeley and Lawrence Berkeley National Labs.",Competitions,,,,"Graduate Student,Staff,Faculty,Undergraduate Student",,Bay Area,"Berkeley,Davis,Merced,Santa Cruz",,Rolling,,,,"""Climate, Environment, & Oceans""",,OnRamp,"see above for entry requirements

Startups must apply to The Foundry through the standard application process and select the “BECI Energy & Climate Challenge” option. Applicants are first evaluated for acceptance into The Foundry, and then separately accepted into the challenge based on input from BECI.",,,RC (May 30),,,,Application,Berkeley Energy & Climate Institute (BECI)
Biotech Challenge,http://citris-uc.org/qb3challenge/,,,,,,,"Resources and mentors for companies working on health-related technologies that combine traditional life science with integrated digital technologies (software, hardware and/or services). Winners are accepted into the QB3 Startup-in-a-Box program (6 month incubator program + 6 month continuation option) and have access to the QB3@953 shared space, mentors, and entrepreneurial community.",Competitions,,,,"Graduate Student,Staff,Faculty,Undergraduate Student",,California,"Berkeley,Davis,Merced,Santa Cruz,San Francisco",,Rolling,,,,Health & Biotech,,OnRamp,"see above for entry requirements

Startups must apply to The Foundry through the standard application process and select the “QB3 Biotech Challenge” option. Applicants are first evaluated for acceptance into The Foundry, and then separately accepted into the Challenge based on input from QB3.",,,RC (May 30),,,,Application,Foundry@CITRIS and QB3@95
Haas FTMBA Foundry Fellow,http://www.foundry-fellows.org/,,,,,,,"Haas Foundry Fellows are first and second-year FTMBAs, passionate about helping develop companies at the cutting edge of technology. Fellows work closely with founders to meet business challenges important to products, markets and investors on a 40-60 hour long engineering and business project over the course of a semester, which can also count for up to 10 academic units towards the students' degree. ",Fellowships & Scholarships,,,,Graduate Student,,UC Berkeley,,,Spring,,Startups,,General,,OnRamp,"New opportunity added

Applications open January 29th ... and deadline to apply is .March 6th.",,,RC (June 5),,,,Application,CITRIS Foundry
Engineering Foundry Fellow,http://www.foundry-fellows.org/,,,,,,,"Engineering Foundry Fellows are undergraduate STEM majors passionate about startups, and helping to create tomorrow's leading companies. Fellows work closely with founders on critical issues related to specification, prototyping, manufacturing and design",Fellowships & Scholarships,,,,Undergraduate Student,,UC Berkeley,,,Spring,,,,Health & Biotech,,OnRamp,"New opportunity added

Applications open January 29th ... and deadline to apply is .March 6th.",,,RC (June 5),,,,Application,CITRIS Foundry
RocketHub,http://www.rockethub.com/,,,,,,,"An international, pioneering, open community and crowdfunding platform that has helped thousands of artists, scientists, entrepreneurs, and social leaders raise millions of dollars by connecting with governments, educators, and communities. Artists, musicians, entrepreneurs, scientists, game developers, philanthropists, filmmakers, photographers, theatre producers/directors, writers, fashion designers, etc. are welcome to post projects",Funding & Grants,,,,,,Global,,,Rolling,,Startups,,General,,OnRamp,New opportunity added,,,RC (June 3nd),,,,Application,RocketHub
GiveForward,http://www.giveforward.com/,,,,,,,"Free personal online fundraising website for individuals, groups & organizations. Serves as a central hub  for receiving community support and donations.",Funding & Grants,,,,,,Global,,,Rolling,,Startups,,General,,OnRamp,New opportunity added,,,RC (June 3nd),,,,Application,GiveForward
EquityNet,https://www.equitynet.com/crowdfunding.aspx,,,,,,,"The original and only patented equity online crowdfunding platform used by entrepreneurs, government entities, investors, business incubators, universities, and other members of the entrepreneurial communitiy to plan, analyze, and capitalize young, privately-held businesses. ",Funding & Grants,,,,,,Global,,,Rolling,,Startups,,General,,OnRamp,"New opportunity added


",,,RC (June 3nd),,,,Application,EquityNet
PeopleFund,http://www.peoplefund.com/,,,,,,,"PeopleFund is a global pioneer in value added investments focused on technology, internet and media. Partners and invests in early through growth venture investments, private equity and public companies.","""Investors for Equity, VCs""",,,,,,Global,,,Rolling,,Startups,,General,,OnRamp,New opportunity added,,,RC (June 3nd),,,,Application,PeopleFund
AngelList,https://angel.co/,,,,,,,"Database of startups, professionials, markets and their locations, salaries and evaluations of startups, and incubators. Also provides a list of over 45k startup jobs and detailed information, access to top deals through investor-led syndicates, learning opportunities from angels and Venture Capitalists, fundraising opportunities for over 800 startups, team recruitment, and trending startups. ",Competitions,,,,,,Global,,,Rolling,,Startups,,General,,OnRamp,New opportunity added,,,RC (June 3nd),,,,Application,AngelList
Davis-Putter Scholarships,http://www.davisputter.org/,,,,,,,"Provides a $10k maximum grant to UG and Graduate students in the United States actively working for peace and justice. Grantees have been active in the struggle against racism, sexism, homophobia, and other forms of oppression; building the movement for economic justice; and creating peace through international, anti-imperialist solidarity, with a strong preference to award grants to students who are planning on staying in the United States and building the progressive movement here.",Fellowships & Scholarships,,,,"Undergraduate Student,Graduate Student",,United States,,,Spring,,,,"Cities,""Equality, Human Rights, & Justice""",,OnRamp,"New opportunity added

Deadline: Applications must be postmarked no later than April 1
Please visit us Jan. 1, 2017 to apply for a grant.

""More recently, grantees have been active in the struggle against racism, sexism, homophobia, and other forms of oppression; building the movement for economic justice; and creating peace through international, anti-imperialist solidarity.""

""Activism is the most important requirement for a successful application. No application will be seriously considered without it.""

There is a strong preference to award grants to students who are planning on staying in the United States and building the progressive movement here.",,,RC (June 3nd),,,,Application,Davis-Putter Scholarship Fund
Ella Lyman Cabot Trust Grants,http://www.cabottrust.org/,,,,,,,"Seeks to supports persons with charitable, religious, artistic, medical, ethical, educational, and scientific projects that promote the good of others. The twice-annual awards grants between $15k - $25k per applicant, given out by the Board of Trustees of the Trust have enabled scores of individuals to develop their passion for serving others. ",Fellowships & Scholarships,,,,,,Global,,,"Winter,Spring",,,,"Cities,Education & Learning,""Climate, Environment, & Oceans"",Health & Biotech,""Equality, Human Rights, & Justice""",,OnRamp,"New opportunity added

DEADLINE: The trustees meet every six months and grants are usually voted in May and December. The approximate deadlines for completed formal applications are, respectively, April 1 and November 1. The preliminary proposal must be received well before those dates – generally by early to mid March and early to mid November.  

ELCT does not make grants:

To institutions, organizations, group endeavors
For scholarships, research, or vocational training
To artists, writers, or film makers soliciting support for artistic works, writing or publication of a book, or the production of a film, unless the project meets the purposes the trustees do support
To support development of a commercial enterprise",,,RC (June 3nd),,,,Application,The Ella Lyman Cabot Trust
John Gardner Fellowship,https://igs.berkeley.edu/student-learning/fellowships/john-gardner-fellowship,,,,,,,"Selects six Fellows during the spring semester from among the graduating classes at UC Berkeley and Stanford University and provides each a $30,000 stipend to work in the governmental or nonprofit organization that most closely fits their public sector interests. Fellows are matched with a senior-level mentor during their 10-month fellowship. Graduating seniors from any major field of study and attending UC Berkeley in the current academic year (December or May) who have a strong interest in public service are eligible to apply.",Fellowships & Scholarships,,,,Undergraduate Student,,UC Berkeley,,,Spring,,,,General,,OnRamp,"New opportunity added

Application Deadline: Tuesday, March 2nd, 2016 by 4 p.m.",,,RC (June 3nd),,,,Application,Institute of Governmental Studies at UC Berkeley and the John Gardner Foundation
J.W. Saxe Memorial Prize for Public Service,http://jwsaxefund.org/,,,,,,,"Grant of up to $2000 awarded annually based on need, to one or more college or university students in the United States involved in public service, and enables students to gain practical experience in public service by taking a no-pay or low-pay job or internship during a summer or other term.",Fellowships & Scholarships,,,,"Undergraduate Student,Graduate Student",,United States,,,Spring,,,,General,,OnRamp,"New opportunity added

Deadline: April.",,,RC (June 3nd),,,,Application,J.W. Saxe Fund
Sustainable Design Contests and Awards Roundup,http://www.engineeringforchange.org/sustainable-design-contests-and-awards-roundup/,,,,,,,"List of awards for clean tech and sustainable, humanitarian design, as well as a separate grants for humanitarian technology projects.",Competitions,,,,,,Global,,,Rolling,,,,"General,International Development",,OnRamp,New opportunity added,,,RC (June 6th),,,,Application,Engineering for Change
E4C Opportunities Portal,https://www.engineeringforchange.org/get-involved/opportunities/,,,,,,,"Here you can find ways to get actively involved in global development via paid and volunteer opportunities, as well as some funding opportunities. You can also submit an opportunity to be distributed to E4C's talented and diverse community. ",Competitions,,,,,,Global,,,Rolling,,,,"General,International Development",,OnRamp,,,,SM,,,,Applicaiton,Engineering for Change
E4C  and the United Engineering Foundation (UEF) Research Fellowship,https://www.globalinnovationexchange.org/funding/e4c-uef-supported-research-fellowship,,,,,,,"4-month Summer Research Fellowship that grants 10 $5k grants to engineering students engaged in global development, supported by a grant from the United Engineering Foundation (UEF). The Fellowship is a new offering from E4C’s Innovation Lab, which supports the development of knowledge tools for designers, manufacturers and implementers of poverty‐alleviating products and services. Fellows will deepen their understanding of development engineering through research, analysis and normalization of solutions ",Fellowships & Scholarships,,,,,,Global,,,Winter,,,,"General,International Development",,OnRamp,"New opportunity added

Deadline: February 12th, 2016

11 Fellows selected for the curren cohort addressing topics including: AGRICULTURE, ENERGY, FEATURED, GENERAL, HEALTH, HOT TOPICS, HOUSING, INFORMATION SYSTEMS, SANITATION, TRANSPORT, WATER. The fellowship started on May 2nd and will run for the whole summer up until the first week of September.",,,RC (June 6th),,,,Application,E4C and the United Engineering Foundation (UEF)
"Blackstone Innovation Grants
","http://www.blackstone.com/citizenship/the-blackstone-charitable-foundation/overview
",,,,,,,"The Blackstone Innovation Grants will be awarded to organizations that are tackling the big challenges facing entrepreneurship and that, through their work, are building an increasingly inclusive and prosperous society. The Foundation is looking for big, bold ideas - across sectors and in a variety of regions – that have the potential for creating lasting change at a major regional, national and/or global scale.",Fellowships & Scholarships,,,,,,Global,,,Fall,,,,"Cities,""Climate, Environment, & Oceans"",""Equality, Human Rights, & Justice"",Health & Biotech",,OnRamp,"New opportunity added

Deadline: October 12  ",,,RC (June 7th),,,,Application,Blackstone Charitable Foundation
Rainer Arnhold Fellowship,http://mulagofoundation.org/fellows-program,,,,,,,"For social entrepreneurs, a course that brings Fellows and faculty together for an intensive week to work on design for maximum impact and scalability in a retreat center on the coast in Bolinas, California. The course gives Fellows the rare opportunity to focus completely on their ideas and a systematic way to apply them. Fellows work directly with staff at six-month intervals to incorporate new information, lessons, and ideas into their formatted design of an Impact Model.",Fellowships & Scholarships,,,,,,United States,,,Rolling,,Startups,,"International Development,General",,OnRamp,"(New opportunity Added)

We actively recruit Fellows through our network, so we do not have a formal application process. We are happy to hear from people who feel that they fit the above description (or suggestions for someone who might).",,,RC (June 8th),,,,Nomination,Mulago Foundation
CGI U Innovation Fund,https://www.clintonfoundation.org/clinton-global-initiative/meetings/cgi-university/innovation-fund/apply,,,,,,,"The CGI U Innovation Fund will source, support, and feature the most effective, high-impact college student entrepreneurs and innovators from around the world by providing critical, early-stage seed funding for their Commitments to Action.",Fellowships & Scholarships,,,,"Undergraduate Student,Graduate Student",,United States,,,Summer,,Startups,,"International Development,General",,OnRamp,"(New opportunity Added)
Applications must be submitted by Monday, June 27, 2016.",,,RC (June 9th),,,,Application,"Clinton Global Initative University, by the Clinton Foundation"
The Siemens Siftung Empowering People Award,https://www.empowering-people-network.siemens-stiftung.org/en/award/,,,,,,,"Competition that seeks innovators and social entrepreneurs to submit appropriate technologies to improve basic supply in crucial areas, which are later showcased on the Solutions Database, giving international spotlight to projects, and allowing them to be supported through virtual and regional workshops, training, and coaching.  Awards winners prizes between 5,000 Euro to 50,000 EUR.",Competitions,,,,,,Global,,,Spring,,Startups,,International Development,,OnRamp,"(New opportunity Added)
applications must be submitted by 15th January 2016, 12pm EST",,,RC (June 10th),,,,Application,Siemens Stiftung
Rolex Award for Enterprise,http://www.rolexawards.com/about/awards,,,,,,,"The Rolex Awards for Enterprise supports pioneering work in five areas: applied technology, cultural heritage, environment, exploration and discovery, and science and health. Projects from all over the world are assessed on their originality, potential for impact, feasibility, and, above all, on the candidates own spirit of enterprise. Awards Laureates  between 50,000 to 100,000 Swiss francs to advance their projects, worldwide publicity, and a Rolex chronometer.",Awards and Recognition,,,,,,Global,,,Spring,,Startups,,"International Development,Cities,Health & Biotech,""Climate, Environment, & Oceans""",,OnRamp,"(New opportunity Added)

Applications must be submitted by 5/31/2016",,,RC (June 10th),,,,Application,Rolex
Classy Awards,https://www.classy.org/collaborative/awards-nominate,,,,,,,"Largest annual social impact awards ceremony in the United States that recognizes non-profit and social enterprise programs run by social impact organizations around the world, with topics addressing global poverty and hunger, disease, education, climate change, disaster response and preparedness, and health care accessibility. ",Awards and Recognition,,,,,,Global,,,Winter,,Startups,,"International Development,""Climate, Environment, & Oceans"",Health & Biotech",,OnRamp,"(New opportunity Added)

Applications must be submitted by 2/29/2016",,,RC (June 10th),,,,Nomination,Classy (by the Collaborative)
Endeavor Global Entrepreneur Services,http://www.endeavor.org/approach/programs/,,,,,,,"Selects and supports a group of extraordinary entrepreneurs who have the potential to transform industries, communities and countries. Through a rigorous, multi-step selection process (12-18 months), candidates pass a series of local and regional interviews before presenting to panelists from our global business network at International Selection Panels held five to six times each year.",Fellowships & Scholarships,,,,Graduate Student,,Global,,,,,,,International Development,,OnRamp,"(New opportunity Added)

Pre-applications must be submitted by Monday, June 27, 2016.

Many (6): Year-round (6 selection days
Applications are rolling, with many deadlines to apply)",,,RC (June 10th),,,,Application,"Endeavor Global Inc.
"
Peer Donation Tool,http://www.allanhouston.com/legacy-foundation/faqs/,,,,,,,"Web-based application that allows individuals, organizations, and communities to fundraise online for their respective cause. Fundraisers are encouraged to upload pictures, videos, and a personal message to their personal fundraising page and share it via email and social media networks. The Peer Donation tool offers a more active approach to fundraising, allowing fundraisers to connect with donors on a more personal level in support of the cause.",Funding & Grants,,,,,,Global,,,Rolling,,,,General,,OnRamp,"(New opportunity Added)
.",,,RC (June 10th),,,,Rolling," Allan Houston Legacy Foundation
"
Paul and Edith Babson Foundation Competitive Grants Program,http://pebabsonfoundation.org/guidelines/,,,,,,,"Types of Support:  Unrestricted, special programs, occasional capital support.
Geographic Focus:  Greater Boston as defined by Route 128. Communities bordering Route 128 will be included, with funding between $1,000 to $12,000. 
Focuses on three program areas: Entrepreneurship and Economic Development, Culture, Education and Leadership Development, and Environment and Community Building
",Fellowships & Scholarships,,,,,,United States,,,"Fall,Spring",,,,General,,OnRamp,"(New opportunity Added)

2 cycles: Spring (February 21) and Fall (September 15)",,,RC (June 10th),,,,Application,"The Paul and Edith Babson Foundation
"
GP Foundation Grant,https://www.gp.com/Company/Community/Foundation,,,,,,,"The foundation funds and supports community-based programs, volunteer service projects, disaster relief and other initiatives to improve the quality of life in communities where Georgia-Pacific operates. GPF invests resources in four areas they believe make the most impact: education, environment, community enrichment and entrepreneurship.",Fellowships & Scholarships,,,,,,Global,,,Rolling,,,,"Cities,Education & Learning,""Climate, Environment, & Oceans""",,OnRamp,"(New opportunity Added)

Not sure if open to only US or also international groups",,,RC (June 10th),,,,Application,"Georgia-Pacific Foundation Inc.
"
Grants for Global Development,http://www.scjohnson.com/en/commitment/socialresponsibility/philanthropy/ApplyingForGrants.aspx,,,,,,,"Grants between $25,000 to $100,000 to existing non-profit organizations or programs focused on defined areas of interest including education, social services, environment, community development, arts and culture, and health.",Fellowships & Scholarships,,,,,,United States,,,Rolling,,,,"Cities,Governance,""Climate, Environment, & Oceans"",Education & Learning,Health & Biotech",,OnRamp,"(New opportunity Added)
Your organization must be a registered, qualified tax-exempt, section 501(c)(3) charity based in the United States, or a government entity such as a school, library, or public agency. No individual teams, or organizations based outside the United States, are allowed to enter
",,,RC (June 10th),,,,Application,"Johnson & Johnson Family of Companies Foundation
"
Investors' Circle,http://www.investorscircle.net/,,,,,,,"Largest and most active early-stage impact investing network, with hundreds of angels, venture capitalists, foundations and family offices. To date, has invested in nearly $200 million into over 300 for-profit enterprises dedicated to improving the environment, education, health and community.  Benefits include oppotrunities to participate in national and local pitch day events, networking, and monthly newsletters.","""Investors for Equity, VCs""",,,,,,United States,,,Rolling,,Startups,,"Education & Learning,""Climate, Environment, & Oceans"",Health & Biotech",,OnRamp,"http://www.investorscircle.net/our-funding-process

""IC investors do not consider applications from:

Individuals, projects or technologies - only fully formed companies; Businesses that are in concept-stage only, Purely non-profit organizations (We will accept applications from for-profit subsidiaries or partners of non-profits), and Venture funds""",,,RC (June 17th),,,,Application,Investors' Circle
Underdog Ventures,http://www.underdogventures.com/,,,,,,,"Venture capital firm specializing in making investments in socially aware, high-net-worth individuals and companies. It prefers to invest in natural and organic food, environment and conservation, socially responsible consumer products, women-owned businesses, community wealth creation, and socially responsible investment companies","""Investors for Equity, VCs""",,,,,,Global,,,Rolling,,Startups,,"""Climate, Environment, & Oceans""",,OnRamp,,,,RC (June 17th),,,,Application,Underdog Foundation
Foundation Center,http://foundationcenter.org/,,,,,,,"Comprehensive database on U.S. and, increasingly, global grantmakers and their grants. It also operates research, education, and training programs designed to advance knowledge of philanthropy at every level., with five library/learning centers and at more than 450 Funding Information Network locations nationwide and around the world.",Competitions,,,,,,Global,,,Rolling,,,,"General,International Development",,OnRamp,,,,RC (June 17th),,,,Application,Foundation Center
Kiva Borrow,https://borrow.kiva.org/borrow,,,,,,,"Crowdlending platform for 0% interest, no-fee loans to startups and small businesses. Kiva is focused on character, not credit scores; on relationships, not collateral. Raise up to $10,000 in less than a month from its community of 2M lenders worldwide, by simply getting 10 friends and family to kick off your loan campaign with $25 contributions.",Funding & Grants,,,,,,Global,,,,,Startups,,General,,OnRamp,,,,,,,,,Kiva
Westly Prize,www.westly.org/westly-prize,,,,,,,"The Westly Prize is a $20,000 cash prize given to promising young social entrepreneurs under the age of 28 who live or are from California. Finalists also get to be a part of our Westly Prize alumni network, with Echoing Green fellows, successful social entrepreneurs and those who have 
learned and grown from their endeavors.
",Competitions,,,,,,United States,,,Spring,,,,General,,OnRamp,,,,,,,,,
SocialGood,http://www.socialgoodfund.org/about/our-mission/,,,,,,,"SocialGood allows people to easily start tax-deductible charitable projects and organizations by using SocialGood’s charitable status, bank accounts, insurance, etc. SocialGood is well suited for students and new ventures because is supports projects of any budget and has a project approval time of days, as opposed to other fiscal sponsors, which typically require large starting amounts (~$100,000) and take weeks or months to approve new projects. It also charges less than the industry standard.",Fellowships & Scholarships,,,,,,Global,,,,,,,General,,OnRamp,,,,,,,,,
Chivas Venture,http://www.chivas.com/en-us/the-venture,,,,,,,"$1Million fund to invest in extraordinary startups that are using business to create positive change. Over the last two years we have awarded $2Million to startups that do well by doing good, because we believe generosity and success go hand in hand. That by giving we achieve more. So let’s share our success, support those around us, and invest in the social businesses that are creating a better future. After all it's what we do today that changes tomorrow. Format: pitch to gain access to an accelerator week.",Competitions,,,,,,Global,,,Winter,,,,General,,OnRamp,,,,,,,,,
EILEEN FISHER Women-Owned Business Grant,http://www.eileenfisher.com/grants/women-owned-business/grant-program-guidelines,,,,,,,"The EILEEN FISHER Women-Owned Business Grant supports innovative, women-owned companies that are beyond the start-up phase and ready to expand their business and their potential for positive social and environmental impact. They award $120,000 in grants for up to 10 grant recipients (minimum grant $12,000) on an annual basism, and grant recipients are invited to New York City in the spring following their award for two days of learning and celebration with the EILEEN FISHER community.",Fellowships & Scholarships,,,,,,United States,,,Spring,,Startups,,General,,OnRamp,"Deadline: 2017 Women-Owned Business Grant will accept applications from May 1 through May 31, 2017",,,"RC (March 27,2017)",,,,Application,Eileen Fisher
Catalyst Fund,http://www.roddenberryfoundation.org/the-catalyst-fund/#intro,,,,,,,"The Roddenberry Foundation’s (TRF) Catalyst Fund was created because they believe that philanthropists, and foundations in particular, need to take more risks. The Catalyst Fund is one of several new TRF initiatives designed to make riskier bets in early-stage ideas that have great potential and provides grants between $2500 -$15,000, with no limit to the number of projects suported in any given year.",Fellowships & Scholarships,,,,,,Global,,,Rolling,,Startups,,General,,OnRamp,,,,"RC (March 29,2017)",,,,Application,The Roddenberry Foundation (TRF)
Imagine Cup,https://compete.imagine.microsoft.com/en-us/imaginecup,,,,,,,"Imagine Cup is a global competition that empowers the next generation of computer science students to team up and use their creativity, passion and knowledge of technology to create applications that shape how we live, work and play. Organized by Microsoft subsidiaries in countries all over the world, the National Finals select the best teams from each participating country as they pitch and demo their ideas to experts to vie for a coveted spot at the Imagine Cup World Finals where they will compete with the best and brightest teams from across the globe for the title of World Champion, $100,000 cash prize and the chance to take home the Imagine Cup!",Competitions,,,,"Undergraduate Student,Graduate Student",,Global,,,Spring,,,,General,,OnRamp,"Deadline: May 31

First Place: $100,000 USD, to be divided equally among each officially registered
member of the Team
Second Place: $25,000 USD, to be divided equally among each officially registered
member of the Team
Third Place: $15,000 USD, to be divided equally among each officially registered
member of the Team",,,"RC (March 29,2017)",,,,Application,Microsoft
AT&T and Baruch College Fast Pitch Competition,http://blogs.baruch.cuny.edu/fieldcenter/att-and-baruch-college-fast-pitch-competition/,,,,,,,"The AT&T and Baruch College Fast Pitch Competition is a business competition in which teams have the chance to competitively pitch their business ideas in one of three tracks: wealth, education and health, and enjoyment. Winners are eligibile for a $2000 award for each category, and an additional $2000 prize awarded to a student pitch.",Competitions,,,,,,United States,,,Spring,,,,"Education & Learning,Health & Biotech",,OnRamp,"Teams must submit answers to key questions in Round 1 by March 23rd by 11:59 PM.

Anyone that is starting or has started a business in the New York Metropolitan Area is eligible to participate. Teams can consist of either enrolled students from other universities or independent entrepreneurs and start-up companies in addition to Baruch students.",,,"RC (March 29,2017)",,,,Application,AT&T and Baruch College
Challenge:Future,http://www.challengefuture.org/competition/,,,,,,,"Challenge:Future is a global youth think tank creating a community of talent and ideas for the world that works for all. The annual Challenge: Future Competition is a global web-based innovation contest built on ideas of radical inclusiveness, open collaboration, and embedded sustainability.",Competitions,,,,"Undergraduate Student,Graduate Student",,Global,,,Winter,,,,"International Development,General",,OnRamp,"Last updated in 2013?
Only born after February 18, 1982 and before February 18, 1995 are eligible to compete

Teams of 1-3 students submit solutions / ideas by the end of February",,,"RC (March 29,2017)",,,,Application,Challenge:Future
NYC BigApps 2017,http://www.bigapps.nyc/about/,,,,,,,"NYC BigApps is the premier civic innovation competition in New York City that challenges designers, developers, academics, entrepreneurs, and New Yorkers at large to apply their know-how to improve New York City. Participants can submit solutions that leverage data and technology to solve for three major issues for New Yorkers: transportation, access to knowledge, and community resiliency, and winning teams will receive cash prizes, product development resources, and admission into Civic Hall Labs’ Civic Accelerator program to turn winning ideas into early stage startups.",Competitions,,,,,,United States,,,Spring,,,,General,,OnRamp,"January 12 – April 30, 2017: Competition Submission Period: Leading up to the April 30 submission deadline, competition participants will have access to seven ideation and prototyping workshops that will help participants develop products and services that address pressing challenges faced by New York City youth, immigrants, and seniors.

BigApps is designed to catalyze the development of new innovations that have the potential to make an impact on the City of New York. We welcomes apps, websites, devices, or any other tech tool from individuals, teams, and companies seeking to improve life in New York City.",,,"RC (March 29,2017)",,,,Application,BigApps NYC
Fuller Challenge,https://www.bfi.org/challenge/about,,,,,,,"Each year, The Buckminster Fuller Institute invites scientists, entrepreneurs, planners, designers, architects, activists, artists, and students from all over the world to submit their innovative solutions to some of humanity’s most pressing problems. A $100,000 prize is awarded to support the development and implementation of one outstanding strategy.",Competitions,,,,,,Global,,,Spring,,,,"International Development,General",,OnRamp,"Application window opens: Friday, January 13th, 2017
Entry Deadline: Friday, March 31st, 2017",,,"RC (March 29,2017)",,,,Application,The Buckminster Fuller Institute
American Entrepreneurship Award (AEA),https://www.americanaward.com/en/awarding-brilliant-businesses-ideas/,,,,,,,"The American Entrepreneurship Award (AEA) offers the Bronx and Miami-Dade County-based entrepreneurs the chance to receive a share of up to $125,000 in prize funding to support their new business venture free consulting and business support services, as well as mentoring are available from experienced executives who really want you to succeed. They want to encourage participation and to inspire hope, both among both first-time entrepreneurs and small business owners who are seeking support for a new commercial venture or new business idea.",Competitions,,,,,,United States,,,Spring,,,,General,,OnRamp,"The website will open for applications on January 30th, 2017.
The closing date for applications will be April 27th, 2017 at 11:59pm EST.
After carefully scrutinizing the business plans a list of finalists will be published on this website in May 2017",,,"RC (March 29,2017)",,,,Application,Libra Group and the American Entrepreneurship Award Corp.
ioby,https://www.ioby.org/actioncorps,,,,,,,"ioby mobilizes neighbors who have good ideas to become powerful citizen leaders who plan, fund and make positive change in their own neighborhoods. Their crowd-resourcing platform connects leaders with funding and support to make neighborhoods safer, greener, more livable and more fun.",Funding & Grants,,,,,,United States,,,Rolling,,,,General,,OnRamp,,,,"RC (March 29,2017)",,,,Application,ioby Action Corps
StartingBloc Fellowship,http://www.startingbloc.org/fellowship,answers@startingbloc.org,+1(984)377-6801,,answers@startingbloc.org,,,"The StartingBloc Institute is a dynamic 5-day conference where Fellows learn from proven change-makers, are pushed to take bigger risks, and find life-long allies.  Fellows gain access to a tight-knit community of social innovators based across the country and the world as well as participation in the Institute for Social Innovation which includes a survey of social innovation, an innovative case-study competition and sessions with industry leaders.",Fellowships & Scholarships,,,,,,Global,,,Rolling,,Startups,,General,,OnRamp,"Institute tuition is $1,250.

Upcoming Institutes
1) NOLA 2017: May 18th-22nd
Late-Apply Deadline: May 4th

2) New York: August 17th-21st
Application Deadline: April 27th

3) Washington DC: October 26th-30th
Application Deadline: July 7th",,,"RC (March 31,2017)",,,,Application,StartingBloc
Black Male Achievement (BMA) Fellowship,http://www.echoinggreen.org/fellowship,,,,,,,"The Black Male Achievement (BMA) Fellowship is a new fellowship program by Open Society Foundations and Echoing Green dedicated to improve the life out- comes of black men and boys in the U.S - in particular, it targets social entrepreneurs who are starting up new and innovative organizations in the field of black male achievement. The BMA Fellowship includes start-up capital and technical assistance over 18 months to help new leaders launch and build their organizations; access to technical support and pro bono partnerships; and a community of like-minded social entrepreneurs and public service leaders.",Fellowships & Scholarships,,,,,,Global,,,Fall,,Startups,,General,,OnRamp,"Applications for the 2017 Fellowships are closed; 2018 applications will open in late summer or early fall.

(ALREADY IN THE SYSTEM = SEE ""ECHOING GREEN"")",,,"RC (March 31,2017)",,,,Application,Open Society Foundations and Echoing Green
WWB Fellowship Program,https://www.womensworldbanking.org/about-us/our-team/fellows/,,,,,,,"The WWB Fellowship Program enables future global leaders in microfinance and women’s economic empowerment to experience the challenges and rewards of contributing that works diligently to create financial opportunities to an organization ties for low income women. Over a 2-year period, Fellows will deliver solutions for organization and network member institutions concerning an array of microfinance initiatives.",Fellowships & Scholarships,,,,,,Global,,,,,Startups,,"International Development,Education & Learning,""Equality, Human Rights, & Justice""",,OnRamp,Last fellows picked in 2015?,,,"RC (March 31,2017)",,,,Application,Women's World Banking
Yoshiyama Young Entrepreneurs Program,http://www.hitachifoundation.org/our-work/entrepreneurship-at-work-program/meet-our-entrepreneurs,,,,,,,"Yoshiyama Young Entrepreneurs Program identifies and supports inspiring young entrepreneurs whose work helps alleviate domestic poverty, and is open to entrepreneurs who are operating viable businesses in the US with the dual purpose of making a difference and making a living. In addition to a $40,000 grant, they provide awardees the ingredients they need to succeed, including leadership development, business mentoring, technical assistance and access to a network of peers and advisers.",Fellowships & Scholarships,,,,,,Global,,,Spring,,Startups,,International Development,,OnRamp,"Appliation deadline: March 30

Site last updated their fellowship in 2012?

Site not working: http://www.hitachifoundation.org/our-work/yoshiyama-young-entrepreneurs-program

Requirements: 
Applicants must have started a business that is now between one and five years old and the entrepreneur must have launched the business before reaching age 30. In addition, the business must be generating revenue for at least the last 12 months. The business can be legally structured as a for-profit or nonprofit enterprise, but must be a revenue-generating model and not rely primarily on grants or donations.",,,"RC (March 31,2017)",,,,Application,The Hitachi Foundation
